Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,13.43637117,13.55554446,11.99788329,18.53674857,17.95252283,17.92329555,19.49316446,18.34210003,18.16247676,20.8936972
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,24.35331653,26.19913256,29.14259936,32.78158824,36.09805428,37.09843993,38.13297019,40.02917476,41.861185,44.20923582
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,23.664901,22.19469349,20.31344059,21.11071028,21.99423628,22.86002769,25.36027331,26.40690621,26.95923243,30.84771157
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,19.34081534,18.9551466,19.91436663,19.54933781,20.03786061,21.77474322,21.66059186,22.51927182,22.26921597,24.40430331
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,9.660905122,9.708914906,9.547180392,9.893147416,10.63922388,10.74663556,11.11975453,10.51526113,10.30933456,10.69277691
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,22.58773686,22.9155971,24.82334083,26.06885155,25.78062911,26.36119179,25.76900688,24.42962,24.30534255,25.65982165
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,10.62996355,12.54203293,13.9025469,17.23306642,16.32444624,15.89144991,15.0398529,14.08220459,15.361685,18.51731765
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Canada,CAN,24.87015032,26.53889838,29.10819678,31.60995591,32.9636938,33.16163352,36.20363989,38.0520106,38.25384431,38.55612203
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Germany,DEU,24.15247824,22.69614467,20.26329467,20.9471728,21.58739793,22.14559327,24.28238534,25.17806614,26.4066172,30.67834943
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,15.54079391,15.36620689,15.78375772,17.56527136,19.44017317,20.42450851,20.64074257,21.51647352,19.98908004,21.81641842
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United States,USA,10.125543,10.2416796,10.49743831,11.16231175,11.81415777,11.94043643,12.30856657,12.31062982,13.00422915,14.41021845
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United Kingdom,GBR,22.71207008,23.37414895,24.90745252,25.79910547,25.21515064,25.88261668,25.20439897,24.90683535,25.32609696,26.86190895
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,3.556685652,6.35398134,14.61007864,24.25698972,16.79122517,8.313160289,2.786465055,-0.773186012,-1.401472683,0.347811227
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Canada,CAN,5.625864086,1.490132904,1.865079365,0.165562914,2.148760331,1.570531125,1.621216381,0.995942457,1.734842951,2.719439957
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Germany,DEU,4.047032598,5.056977967,4.474576508,2.693056399,1.706160413,1.44972702,1.939371989,0.911183535,0.585433064,1.440268387
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Africa,ZAF,15.33480235,13.87468038,9.71746733,8.938524935,8.680444226,7.354113387,8.597782632,6.880546378,5.181492797,5.338951029
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United States,USA,4.234963965,3.028819678,2.951656966,2.607441592,2.805419689,2.9312042,2.337689937,1.552279099,2.188027197,3.376857271
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United Kingdom,GBR,7.461782957,4.591549296,2.558577969,2.219012605,2.697495183,2.851782364,2.201143135,1.820561637,1.752950801,1.182956242
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,9.262786084,14.22452959,13.8837293,13.03680663,10.95395434,9.922556756,9.236779894,7.845951782,7.661651506,8.490093404
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,-2.086085488,0.900259563,2.660856602,4.494466207,2.693976276,1.619172495,4.280040034,3.896151829,5.162913624,5.177635668
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,5.108261522,1.923076559,-0.976849818,2.391892071,1.544146496,0.805822891,1.792160821,2.013932785,1.887261154,2.912502964
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,-1.018244968,-2.137032845,1.233557939,3.200000003,3.100000001,4.299999997,2.600000001,0.5,2.399999997,4.200000001
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,-0.108264791,3.522440527,2.751781051,4.02879326,2.684217272,3.772565499,4.447174945,4.481394432,4.794499045,4.077159479
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,-1.103121658,0.40108203,2.48983102,3.846009161,2.531670045,2.582022529,4.924928652,3.414269874,3.066176125,4.318727058
"Labor force, total",SL.TLF.TOTL.IN,China,CHN,647240828,655427871,663270310,671847538,681135001,691090313,702212322,712827235,722366758,731993935
"Labor force, total",SL.TLF.TOTL.IN,Canada,CAN,14803644,14782203,14871263,15013489,15119721,15278818,15520772,15760787,16041716,16308539
"Labor force, total",SL.TLF.TOTL.IN,Germany,DEU,39804078,39606053,39581564,39633067,39488772,39594509,39749960,39817898,40025495,39865801
"Labor force, total",SL.TLF.TOTL.IN,South Africa,ZAF,15795955,16002909,16207343,16452296,16733331,17042659,17391928,17767558,18138149,18506395
"Labor force, total",SL.TLF.TOTL.IN,United States,USA,128277990,130387356,131792391,134076659,135975697,138055157,140577814,142198651,144105404,146165416
"Labor force, total",SL.TLF.TOTL.IN,United Kingdom,GBR,29083861,28980864,28773930,28764405,28774443,28921109,29090800,29150168,29238964,29511805
"Population, total",SP.POP.TOTL,China,CHN,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000
"Population, total",SP.POP.TOTL,Canada,CAN,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730
"Population, total",SP.POP.TOTL,Germany,DEU,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508
"Population, total",SP.POP.TOTL,South Africa,ZAF,40910959,41760755,42525440,43267982,43986084,44661603,45285048,45852166,46364681,46813266
"Population, total",SP.POP.TOTL,United States,USA,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
